student_id,course_id,group_id,assessment_id,assessment_title,type,score,max_score,date
S0009,C001,G01,C001-QZ,Quiz 1,quiz,75.9,100,2025-12-19
S0009,C001,G01,C001-QZ,Quiz 2,quiz,64.4,100,2026-01-03
S0009,C001,G01,C001-QZ,Quiz 3,quiz,69.7,100,2026-01-18
S0009,C001,G01,C001-QZ,Quiz 4,quiz,63.2,100,2026-02-01
S0009,C001,G01,C001-AS,Assignment 1,assignment,85.5,100,2026-02-16
S0009,C001,G01,C001-AS,Assignment 2,assignment,78.1,100,2026-03-03
S0009,C001,G01,C001-AS,Assignment 3,assignment,70.1,100,2026-03-17
S0009,C001,G01,C001-PR,Practical 1,practical,72.9,100,2026-04-01
S0009,C001,G01,C001-PR,Practical 2,practical,70.2,100,2026-04-16
S0009,C001,G01,C001-EX,Midterm Exam,exam,79.0,100,2026-04-30
S0009,C001,G01,C001-EXF,Final Exam,exam,74.5,100,2026-05-15
S0010,C003,G05,C003-QZ,Quiz 1,quiz,63.6,100,2025-12-16
S0010,C003,G05,C003-QZ,Quiz 2,quiz,66.9,100,2025-12-31
S0010,C003,G05,C003-QZ,Quiz 3,quiz,76.0,100,2026-01-15
S0010,C003,G05,C003-QZ,Quiz 4,quiz,57.5,100,2026-01-30
S0010,C003,G05,C003-AS,Assignment 1,assignment,78.5,100,2026-02-14
S0010,C003,G05,C003-AS,Assignment 2,assignment,83.1,100,2026-03-01
S0010,C003,G05,C003-AS,Assignment 3,assignment,51.3,100,2026-03-16
S0010,C003,G05,C003-PR,Practical 1,practical,66.6,100,2026-03-31
S0010,C003,G05,C003-PR,Practical 2,practical,59.6,100,2026-04-15
S0010,C003,G05,C003-EX,Midterm Exam,exam,65.4,100,2026-04-30
S0010,C003,G05,C003-EXF,Final Exam,exam,54.4,100,2026-05-15
S0010,C003,G05,C006-EXF,Final Exam,exam,80.0,100,2026-05-10
S0011,C006,G08,C006-QZ,Quiz 1,quiz,69.1,100,2025-12-22
S0011,C006,G08,C006-QZ,Quiz 2,quiz,70.4,100,2026-01-05
S0011,C006,G08,C006-QZ,Quiz 3,quiz,65.3,100,2026-01-20
S0011,C006,G08,C006-QZ,Quiz 4,quiz,81.8,100,2026-02-03
S0011,C006,G08,C006-AS,Assignment 1,assignment,66.4,100,2026-02-18
S0011,C006,G08,C006-AS,Assignment 2,assignment,62.8,100,2026-03-04
S0011,C006,G08,C006-AS,Assignment 3,assignment,49.3,100,2026-03-18
S0011,C006,G08,C006-PR,Practical 1,practical,79.7,100,2026-04-02
S0011,C006,G08,C006-PR,Practical 2,practical,73.7,100,2026-04-16
S0011,C006,G08,C006-EX,Midterm Exam,exam,87.9,100,2026-05-01
S0011,C006,G08,C006-EXF,Final Exam,exam,83.9,100,2026-05-15
S0012,C002,G04,C002-QZ,Quiz 1,quiz,66.1,100,2025-12-28
S0012,C002,G04,C002-QZ,Quiz 2,quiz,55.7,100,2026-01-11
S0012,C002,G04,C002-QZ,Quiz 3,quiz,79.8,100,2026-01-25
S0012,C002,G04,C002-QZ,Quiz 4,quiz,71.7,100,2026-02-08
S0012,C002,G04,C002-AS,Assignment 1,assignment,62.2,100,2026-02-22
S0012,C002,G04,C002-AS,Assignment 2,assignment,66.2,100,2026-03-08
S0012,C002,G04,C002-AS,Assignment 3,assignment,49.7,100,2026-03-21
S0012,C002,G04,C002-PR,Practical 1,practical,79.5,100,2026-04-04
S0012,C002,G04,C002-PR,Practical 2,practical,62.1,100,2026-04-18
S0012,C002,G04,C002-EX,Midterm Exam,exam,69.7,100,2026-05-02
S0012,C002,G04,C002-EXF,Final Exam,exam,72.6,100,2026-05-16
S0013,C005,G07,C005-QZ,Quiz 1,quiz,56.7,100,2025-12-22
S0013,C005,G07,C005-QZ,Quiz 2,quiz,55.4,100,2026-01-05
S0013,C005,G07,C005-QZ,Quiz 3,quiz,70.9,100,2026-01-20
S0013,C005,G07,C005-QZ,Quiz 4,quiz,45.6,100,2026-02-03
S0013,C005,G07,C005-AS,Assignment 1,assignment,33.3,100,2026-02-18
S0013,C005,G07,C005-AS,Assignment 2,assignment,47.4,100,2026-03-04
S0013,C005,G07,C005-AS,Assignment 3,assignment,42.2,100,2026-03-18
S0013,C005,G07,C005-PR,Practical 1,practical,45.0,100,2026-04-02
S0013,C005,G07,C005-PR,Practical 2,practical,57.4,100,2026-04-16
S0013,C005,G07,C005-EX,Midterm Exam,exam,57.3,100,2026-05-01
S0013,C005,G07,C005-EXF,Final Exam,exam,78.9,100,2026-05-15
S0014,C001,G01,C001-QZ,Quiz 1,quiz,96.4,100,2025-12-31
S0014,C001,G01,C001-QZ,Quiz 2,quiz,81.6,100,2026-01-14
S0014,C001,G01,C001-QZ,Quiz 3,quiz,88.9,100,2026-01-27
S0014,C001,G01,C001-QZ,Quiz 4,quiz,74.4,100,2026-02-10
S0014,C001,G01,C001-AS,Assignment 1,assignment,80.9,100,2026-02-23
S0014,C001,G01,C001-AS,Assignment 2,assignment,64.7,100,2026-03-09
S0014,C001,G01,C001-AS,Assignment 3,assignment,75.8,100,2026-03-23
S0014,C001,G01,C001-PR,Practical 1,practical,92.6,100,2026-04-05
S0014,C001,G01,C001-PR,Practical 2,practical,91.6,100,2026-04-19
S0014,C001,G01,C001-EX,Midterm Exam,exam,87.8,100,2026-05-02
S0014,C001,G01,C001-EXF,Final Exam,exam,84.2,100,2026-05-16
S0015,C001,G02,C001-QZ,Quiz 1,quiz,69.8,100,2025-12-22
S0015,C001,G02,C001-QZ,Quiz 2,quiz,73.2,100,2026-01-05
S0015,C001,G02,C001-QZ,Quiz 3,quiz,67.9,100,2026-01-20
S0015,C001,G02,C001-QZ,Quiz 4,quiz,71.1,100,2026-02-03
S0015,C001,G02,C001-AS,Assignment 1,assignment,61.9,100,2026-02-18
S0015,C001,G02,C001-AS,Assignment 2,assignment,53.0,100,2026-03-04
S0015,C001,G02,C001-AS,Assignment 3,assignment,66.9,100,2026-03-18
S0015,C001,G02,C001-PR,Practical 1,practical,67.3,100,2026-04-02
S0015,C001,G02,C001-PR,Practical 2,practical,73.3,100,2026-04-16
S0015,C001,G02,C001-EX,Midterm Exam,exam,57.5,100,2026-05-01
S0015,C001,G02,C001-EXF,Final Exam,exam,69.1,100,2026-05-15
S0016,C001,G01,C001-QZ,Quiz 1,quiz,86.7,100,2025-12-27
S0016,C001,G01,C001-QZ,Quiz 2,quiz,83.1,100,2026-01-10
S0016,C001,G01,C001-QZ,Quiz 3,quiz,71.9,100,2026-01-24
S0016,C001,G01,C001-QZ,Quiz 4,quiz,91.4,100,2026-02-07
S0016,C001,G01,C001-AS,Assignment 1,assignment,74.8,100,2026-02-21
S0016,C001,G01,C001-AS,Assignment 2,assignment,80.6,100,2026-03-07
S0016,C001,G01,C001-AS,Assignment 3,assignment,52.5,100,2026-03-21
S0016,C001,G01,C001-PR,Practical 1,practical,96.2,100,2026-04-04
S0016,C001,G01,C001-PR,Practical 2,practical,80.3,100,2026-04-18
S0016,C001,G01,C001-EX,Midterm Exam,exam,95.1,100,2026-05-02
S0016,C001,G01,C001-EXF,Final Exam,exam,89.0,100,2026-05-16
S0017,C001,G02,C001-QZ,Quiz 1,quiz,80.1,100,2025-12-20
S0017,C001,G02,C001-QZ,Quiz 2,quiz,74.8,100,2026-01-04
S0017,C001,G02,C001-QZ,Quiz 3,quiz,64.4,100,2026-01-18
S0017,C001,G02,C001-QZ,Quiz 4,quiz,52.7,100,2026-02-02
S0017,C001,G02,C001-AS,Assignment 1,assignment,75.5,100,2026-02-16
S0017,C001,G02,C001-AS,Assignment 2,assignment,47.3,100,2026-03-03
S0017,C001,G02,C001-AS,Assignment 3,assignment,65.5,100,2026-03-18
S0017,C001,G02,C001-PR,Practical 1,practical,67.4,100,2026-04-01
S0017,C001,G02,C001-PR,Practical 2,practical,67.2,100,2026-04-16
S0017,C001,G02,C001-EX,Midterm Exam,exam,61.2,100,2026-04-30
S0017,C001,G02,C001-EXF,Final Exam,exam,76.0,100,2026-05-15
S0018,C006,G09,C006-QZ,Quiz 1,quiz,84.3,100,2025-12-29
S0018,C006,G09,C006-QZ,Quiz 2,quiz,72.2,100,2026-01-12
S0018,C006,G09,C006-QZ,Quiz 3,quiz,85.2,100,2026-01-26
S0018,C006,G09,C006-QZ,Quiz 4,quiz,74.2,100,2026-02-09
S0018,C006,G09,C006-AS,Assignment 1,assignment,83.8,100,2026-02-22
S0018,C006,G09,C006-AS,Assignment 2,assignment,88.1,100,2026-03-08
S0018,C006,G09,C006-AS,Assignment 3,assignment,72.9,100,2026-03-22
S0018,C006,G09,C006-PR,Practical 1,practical,81.4,100,2026-04-05
S0018,C006,G09,C006-PR,Practical 2,practical,66.3,100,2026-04-18
S0018,C006,G09,C006-EX,Midterm Exam,exam,76.8,100,2026-05-02
S0018,C006,G09,C006-EXF,Final Exam,exam,71.5,100,2026-05-16
S0019,C002,G04,C002-QZ,Quiz 1,quiz,84.7,100,2025-12-18
S0019,C002,G04,C002-QZ,Quiz 2,quiz,66.6,100,2026-01-02
S0019,C002,G04,C002-QZ,Quiz 3,quiz,61.7,100,2026-01-17
S0019,C002,G04,C002-QZ,Quiz 4,quiz,75.0,100,2026-02-01
S0019,C002,G04,C002-AS,Assignment 1,assignment,52.9,100,2026-02-15
S0019,C002,G04,C002-AS,Assignment 2,assignment,62.4,100,2026-03-02
S0019,C002,G04,C002-AS,Assignment 3,assignment,46.2,100,2026-03-17
S0019,C002,G04,C002-PR,Practical 1,practical,68.6,100,2026-04-01
S0019,C002,G04,C002-PR,Practical 2,practical,67.0,100,2026-04-15
S0019,C002,G04,C002-EX,Midterm Exam,exam,71.5,100,2026-04-30
S0019,C002,G04,C002-EXF,Final Exam,exam,56.4,100,2026-05-15
S0020,C004,G06,C004-QZ,Quiz 1,quiz,51.5,100,2025-12-24
S0020,C004,G06,C004-QZ,Quiz 2,quiz,76.7,100,2026-01-07
S0020,C004,G06,C004-QZ,Quiz 3,quiz,74.8,100,2026-01-21
S0020,C004,G06,C004-QZ,Quiz 4,quiz,74.7,100,2026-02-05
S0020,C004,G06,C004-AS,Assignment 1,assignment,70.3,100,2026-02-19
S0020,C004,G06,C004-AS,Assignment 2,assignment,75.2,100,2026-03-05
S0020,C004,G06,C004-AS,Assignment 3,assignment,77.2,100,2026-03-19
S0020,C004,G06,C004-PR,Practical 1,practical,81.5,100,2026-04-03
S0020,C004,G06,C004-PR,Practical 2,practical,76.2,100,2026-04-17
S0020,C004,G06,C004-EX,Midterm Exam,exam,66.9,100,2026-05-01
S0020,C004,G06,C004-EXF,Final Exam,exam,86.4,100,2026-05-15
S0021,C001,G01,C001-QZ,Quiz 1,quiz,85.1,100,2025-12-19
S0021,C001,G01,C001-QZ,Quiz 2,quiz,81.0,100,2026-01-03
S0021,C001,G01,C001-QZ,Quiz 3,quiz,76.3,100,2026-01-18
S0021,C001,G01,C001-QZ,Quiz 4,quiz,73.0,100,2026-02-01
S0021,C001,G01,C001-AS,Assignment 1,assignment,75.4,100,2026-02-16
S0021,C001,G01,C001-AS,Assignment 2,assignment,72.2,100,2026-03-03
S0021,C001,G01,C001-AS,Assignment 3,assignment,69.9,100,2026-03-17
S0021,C001,G01,C001-PR,Practical 1,practical,87.9,100,2026-04-01
S0021,C001,G01,C001-PR,Practical 2,practical,69.9,100,2026-04-16
S0021,C001,G01,C001-EX,Midterm Exam,exam,90.8,100,2026-04-30
S0021,C001,G01,C001-EXF,Final Exam,exam,88.0,100,2026-05-15
S0022,C001,G02,C001-QZ,Quiz 1,quiz,60.5,100,2026-01-02
S0022,C001,G02,C001-QZ,Quiz 2,quiz,72.8,100,2026-01-15
S0022,C001,G02,C001-QZ,Quiz 3,quiz,70.2,100,2026-01-29
S0022,C001,G02,C001-QZ,Quiz 4,quiz,90.7,100,2026-02-11
S0022,C001,G02,C001-AS,Assignment 1,assignment,99.1,100,2026-02-25
S0022,C001,G02,C001-AS,Assignment 2,assignment,70.9,100,2026-03-10
S0022,C001,G02,C001-AS,Assignment 3,assignment,86.7,100,2026-03-23
S0022,C001,G02,C001-PR,Practical 1,practical,69.4,100,2026-04-06
S0022,C001,G02,C001-PR,Practical 2,practical,73.5,100,2026-04-19
S0022,C001,G02,C001-EX,Midterm Exam,exam,62.3,100,2026-05-03
S0022,C001,G02,C001-EXF,Final Exam,exam,76.5,100,2026-05-16
S0023,C006,G08,C006-QZ,Quiz 1,quiz,70.2,100,2026-01-01
S0023,C006,G08,C006-QZ,Quiz 2,quiz,75.0,100,2026-01-15
S0023,C006,G08,C006-QZ,Quiz 3,quiz,73.2,100,2026-01-28
S0023,C006,G08,C006-QZ,Quiz 4,quiz,88.0,100,2026-02-11
S0023,C006,G08,C006-AS,Assignment 1,assignment,92.2,100,2026-02-24
S0023,C006,G08,C006-AS,Assignment 2,assignment,51.8,100,2026-03-10
S0023,C006,G08,C006-AS,Assignment 3,assignment,91.3,100,2026-03-23
S0023,C006,G08,C006-PR,Practical 1,practical,57.3,100,2026-04-06
S0023,C006,G08,C006-PR,Practical 2,practical,67.3,100,2026-04-19
S0023,C006,G08,C006-EX,Midterm Exam,exam,61.1,100,2026-05-03
S0023,C006,G08,C006-EXF,Final Exam,exam,63.6,100,2026-05-16
S0024,C006,G09,C006-QZ,Quiz 1,quiz,88.0,100,2025-12-29
S0024,C006,G09,C006-QZ,Quiz 2,quiz,86.2,100,2026-01-12
S0024,C006,G09,C006-QZ,Quiz 3,quiz,85.4,100,2026-01-26
S0024,C006,G09,C006-QZ,Quiz 4,quiz,80.5,100,2026-02-09
S0024,C006,G09,C006-AS,Assignment 1,assignment,83.5,100,2026-02-22
S0024,C006,G09,C006-AS,Assignment 2,assignment,67.6,100,2026-03-08
S0024,C006,G09,C006-AS,Assignment 3,assignment,87.1,100,2026-03-22
S0024,C006,G09,C006-PR,Practical 1,practical,93.4,100,2026-04-05
S0024,C006,G09,C006-PR,Practical 2,practical,89.3,100,2026-04-18
S0024,C006,G09,C006-EX,Midterm Exam,exam,89.9,100,2026-05-02
S0024,C006,G09,C006-EXF,Final Exam,exam,79.6,100,2026-05-16
S0025,C004,G06,C004-QZ,Quiz 1,quiz,80.2,100,2025-12-23
S0025,C004,G06,C004-QZ,Quiz 2,quiz,90.6,100,2026-01-06
S0025,C004,G06,C004-QZ,Quiz 3,quiz,79.1,100,2026-01-21
S0025,C004,G06,C004-QZ,Quiz 4,quiz,82.2,100,2026-02-04
S0025,C004,G06,C004-AS,Assignment 1,assignment,84.0,100,2026-02-18
S0025,C004,G06,C004-AS,Assignment 2,assignment,77.5,100,2026-03-05
S0025,C004,G06,C004-AS,Assignment 3,assignment,85.1,100,2026-03-19
S0025,C004,G06,C004-PR,Practical 1,practical,83.1,100,2026-04-02
S0025,C004,G06,C004-PR,Practical 2,practical,84.5,100,2026-04-17
S0025,C004,G06,C004-EX,Midterm Exam,exam,72.3,100,2026-05-01
S0025,C004,G06,C004-EXF,Final Exam,exam,82.2,100,2026-05-15
S0026,C002,G04,C002-QZ,Quiz 1,quiz,93.7,100,2025-12-16
S0026,C002,G04,C002-QZ,Quiz 2,quiz,66.3,100,2025-12-31
S0026,C002,G04,C002-QZ,Quiz 3,quiz,82.8,100,2026-01-15
S0026,C002,G04,C002-QZ,Quiz 4,quiz,76.5,100,2026-01-30
S0026,C002,G04,C002-AS,Assignment 1,assignment,81.4,100,2026-02-14
S0026,C002,G04,C002-AS,Assignment 2,assignment,64.8,100,2026-03-01
S0026,C002,G04,C002-AS,Assignment 3,assignment,65.3,100,2026-03-16
S0026,C002,G04,C002-PR,Practical 1,practical,63.8,100,2026-03-31
S0026,C002,G04,C002-PR,Practical 2,practical,68.9,100,2026-04-15
S0026,C002,G04,C002-EX,Midterm Exam,exam,65.9,100,2026-04-30
S0026,C002,G04,C002-EXF,Final Exam,exam,72.8,100,2026-05-15
S0027,C002,G04,C002-QZ,Quiz 1,quiz,84.5,100,2025-12-16
S0027,C002,G04,C002-QZ,Quiz 2,quiz,87.9,100,2025-12-31
S0027,C002,G04,C002-QZ,Quiz 3,quiz,75.1,100,2026-01-15
S0027,C002,G04,C002-QZ,Quiz 4,quiz,71.2,100,2026-01-30
S0027,C002,G04,C002-AS,Assignment 1,assignment,55.5,100,2026-02-14
S0027,C002,G04,C002-AS,Assignment 2,assignment,64.6,100,2026-03-01
S0027,C002,G04,C002-AS,Assignment 3,assignment,56.0,100,2026-03-16
S0027,C002,G04,C002-PR,Practical 1,practical,83.4,100,2026-03-31
S0027,C002,G04,C002-PR,Practical 2,practical,65.3,100,2026-04-15
S0027,C002,G04,C002-EX,Midterm Exam,exam,82.5,100,2026-04-30
S0027,C002,G04,C002-EXF,Final Exam,exam,96.0,100,2026-05-15
S0028,C004,G06,C004-QZ,Quiz 1,quiz,66.8,100,2025-12-16
S0028,C004,G06,C004-QZ,Quiz 2,quiz,86.0,100,2025-12-31
S0028,C004,G06,C004-QZ,Quiz 3,quiz,69.1,100,2026-01-15
S0028,C004,G06,C004-QZ,Quiz 4,quiz,84.2,100,2026-01-30
S0028,C004,G06,C004-AS,Assignment 1,assignment,80.8,100,2026-02-14
S0028,C004,G06,C004-AS,Assignment 2,assignment,70.6,100,2026-03-01
S0028,C004,G06,C004-AS,Assignment 3,assignment,70.6,100,2026-03-16
S0028,C004,G06,C004-PR,Practical 1,practical,78.5,100,2026-03-31
S0028,C004,G06,C004-PR,Practical 2,practical,88.4,100,2026-04-15
S0028,C004,G06,C004-EX,Midterm Exam,exam,82.0,100,2026-04-30
S0028,C004,G06,C004-EXF,Final Exam,exam,90.2,100,2026-05-15
S0029,C006,G09,C006-QZ,Quiz 1,quiz,80.2,100,2025-12-17
S0029,C006,G09,C006-QZ,Quiz 2,quiz,80.4,100,2026-01-01
S0029,C006,G09,C006-QZ,Quiz 3,quiz,92.5,100,2026-01-16
S0029,C006,G09,C006-QZ,Quiz 4,quiz,76.5,100,2026-01-31
S0029,C006,G09,C006-AS,Assignment 1,assignment,77.9,100,2026-02-15
S0029,C006,G09,C006-AS,Assignment 2,assignment,62.8,100,2026-03-02
S0029,C006,G09,C006-AS,Assignment 3,assignment,62.5,100,2026-03-16
S0029,C006,G09,C006-PR,Practical 1,practical,85.7,100,2026-03-31
S0029,C006,G09,C006-PR,Practical 2,practical,79.0,100,2026-04-15
S0029,C006,G09,C006-EX,Midterm Exam,exam,75.0,100,2026-04-30
S0029,C006,G09,C006-EXF,Final Exam,exam,70.9,100,2026-05-15
S0030,C006,G08,C006-QZ,Quiz 1,quiz,72.0,100,2025-12-30
S0030,C006,G08,C006-QZ,Quiz 2,quiz,65.2,100,2026-01-13
S0030,C006,G08,C006-QZ,Quiz 3,quiz,65.9,100,2026-01-27
S0030,C006,G08,C006-QZ,Quiz 4,quiz,70.8,100,2026-02-09
S0030,C006,G08,C006-AS,Assignment 1,assignment,51.6,100,2026-02-23
S0030,C006,G08,C006-AS,Assignment 2,assignment,68.6,100,2026-03-09
S0030,C006,G08,C006-AS,Assignment 3,assignment,63.5,100,2026-03-22
S0030,C006,G08,C006-PR,Practical 1,practical,80.1,100,2026-04-05
S0030,C006,G08,C006-PR,Practical 2,practical,77.4,100,2026-04-19
S0030,C006,G08,C006-EX,Midterm Exam,exam,73.6,100,2026-05-02
S0030,C006,G08,C006-EXF,Final Exam,exam,79.6,100,2026-05-16
S0031,C004,G06,C004-QZ,Quiz 1,quiz,60.5,100,2025-12-23
S0031,C004,G06,C004-QZ,Quiz 2,quiz,89.3,100,2026-01-06
S0031,C004,G06,C004-QZ,Quiz 3,quiz,67.5,100,2026-01-21
S0031,C004,G06,C004-QZ,Quiz 4,quiz,62.0,100,2026-02-04
S0031,C004,G06,C004-AS,Assignment 1,assignment,75.1,100,2026-02-18
S0031,C004,G06,C004-AS,Assignment 2,assignment,55.9,100,2026-03-05
S0031,C004,G06,C004-AS,Assignment 3,assignment,53.0,100,2026-03-19
S0031,C004,G06,C004-PR,Practical 1,practical,70.3,100,2026-04-02
S0031,C004,G06,C004-PR,Practical 2,practical,62.6,100,2026-04-17
S0031,C004,G06,C004-EX,Midterm Exam,exam,69.2,100,2026-05-01
S0031,C004,G06,C004-EXF,Final Exam,exam,69.0,100,2026-05-15
S0032,C001,G01,C001-QZ,Quiz 1,quiz,86.7,100,2025-12-23
S0032,C001,G01,C001-QZ,Quiz 2,quiz,75.6,100,2026-01-06
S0032,C001,G01,C001-QZ,Quiz 3,quiz,57.6,100,2026-01-21
S0032,C001,G01,C001-QZ,Quiz 4,quiz,69.4,100,2026-02-04
S0032,C001,G01,C001-AS,Assignment 1,assignment,69.9,100,2026-02-18
S0032,C001,G01,C001-AS,Assignment 2,assignment,70.6,100,2026-03-05
