event_id,student_id,event_type,event_datetime,duration_seconds,device
EV000137,S0003,video_watch,2026-02-13T05:42:37,1163.0,mobile
EV000138,S0003,login,2026-02-10T15:51:52,,web
EV000139,S0003,quiz_attempt,2026-01-30T17:08:09,,mobile
EV000140,S0003,video_watch,2026-02-06T02:05:09,648.0,web
EV000141,S0003,video_watch,2026-04-03T02:03:32,624.0,mobile
EV000142,S0003,login,2026-02-06T22:04:45,,web
EV000143,S0003,video_watch,2026-02-15T14:22:20,513.0,web
EV000144,S0003,resource_download,2026-05-03T15:10:04,,web
EV000145,S0003,login,2026-05-25T17:15:45,,mobile
EV000146,S0003,video_watch,2026-02-04T19:58:52,705.0,mobile
EV000147,S0003,video_watch,2026-01-02T06:03:45,695.0,web
EV000148,S0003,quiz_attempt,2026-04-25T22:53:24,,mobile
EV000149,S0003,video_watch,2026-01-29T09:59:22,653.0,mobile
EV000150,S0003,login,2026-02-22T19:46:24,,mobile
EV000151,S0003,quiz_attempt,2026-04-04T03:46:33,,web
EV000152,S0003,login,2025-12-17T10:51:49,,web
EV000153,S0003,video_watch,2026-02-21T03:49:19,732.0,mobile
EV000154,S0003,login,2026-03-31T14:18:13,,mobile
EV000155,S0003,resource_download,2026-03-08T08:49:40,,mobile
EV000156,S0003,quiz_attempt,2026-04-10T11:26:41,,web
EV000157,S0003,login,2026-02-12T17:27:08,,web
EV000158,S0003,resource_download,2025-12-24T00:34:10,,web
EV000159,S0003,resource_download,2026-02-01T20:43:13,,web
EV000160,S0003,login,2026-01-06T08:44:24,,mobile
EV000161,S0003,login,2026-02-19T03:46:36,,web
EV000162,S0003,login,2026-03-28T15:46:56,,mobile
EV000163,S0003,video_watch,2026-04-21T02:25:22,1009.0,web
EV000164,S0003,video_watch,2026-02-18T07:39:07,537.0,mobile
EV000165,S0003,video_watch,2026-02-26T10:32:50,665.0,mobile
EV000166,S0003,resource_download,2026-02-06T16:15:08,,web
EV000167,S0003,login,2026-04-12T03:24:39,,mobile
EV000168,S0003,resource_download,2026-03-22T11:30:51,,mobile
EV000169,S0003,quiz_attempt,2026-04-23T04:33:37,,web
EV000170,S0003,login,2026-02-21T09:11:29,,mobile
EV000171,S0003,video_watch,2026-04-26T11:26:23,526.0,web
EV000172,S0003,forum_post,2026-05-11T02:00:41,,mobile
EV000173,S0003,login,2026-03-25T02:59:58,,web
EV000174,S0003,video_watch,2026-01-07T06:12:30,715.0,web
EV000175,S0003,quiz_attempt,2026-04-24T13:57:13,,web
EV000176,S0003,login,2026-02-12T02:02:50,,web
EV000177,S0003,login,2025-12-18T08:18:35,,web
EV000178,S0003,login,2026-03-04T07:28:41,,mobile
EV000179,S0003,login,2026-05-26T23:22:58,,web
EV000180,S0003,login,2026-04-06T23:42:52,,web
EV000181,S0003,video_watch,2026-04-23T09:28:06,542.0,web
EV000182,S0003,login,2026-05-01T08:32:33,,mobile
EV000183,S0003,forum_post,2026-04-12T03:14:42,,mobile
EV000184,S0003,login,2025-12-18T22:57:33,,web
EV000185,S0003,forum_post,2026-04-14T23:47:04,,mobile
EV000186,S0003,video_watch,2026-02-27T04:15:36,551.0,mobile
EV000187,S0003,login,2026-02-19T09:49:19,,web
EV000188,S0003,login,2026-05-06T05:43:29,,mobile
EV000189,S0003,quiz_attempt,2026-02-23T13:43:13,,web
EV000190,S0003,login,2026-03-24T14:56:10,,mobile
EV000191,S0003,quiz_attempt,2025-12-28T09:41:37,,mobile
EV000192,S0003,login,2026-03-23T07:11:26,,web
EV000193,S0003,login,2026-01-07T07:32:07,,mobile
EV000194,S0003,video_watch,2025-12-29T14:22:33,364.0,web
EV000195,S0003,forum_post,2026-05-09T00:44:06,,web
EV000196,S0003,video_watch,2026-01-03T23:32:41,675.0,mobile
EV000197,S0004,forum_post,2026-03-18T12:16:02,,mobile
EV000198,S0004,video_watch,2026-05-08T01:55:52,1044.0,mobile
EV000199,S0004,quiz_attempt,2026-02-04T04:02:17,,mobile
EV000200,S0004,quiz_attempt,2026-01-27T09:56:01,,mobile
EV000201,S0004,resource_download,2026-01-11T18:43:31,,web
EV000202,S0004,login,2026-01-29T17:15:09,,web
EV000203,S0004,resource_download,2026-04-26T13:09:08,,mobile
EV000204,S0004,resource_download,2026-04-20T23:26:57,,web
EV000205,S0004,video_watch,2026-02-14T23:21:18,766.0,web
EV000206,S0004,login,2025-12-15T03:35:09,,web
EV000207,S0004,video_watch,2026-03-15T23:06:54,582.0,mobile
EV000208,S0004,forum_post,2026-01-17T19:37:46,,mobile
EV000209,S0004,video_watch,2026-03-09T05:28:49,400.0,mobile
EV000210,S0004,quiz_attempt,2026-05-07T12:54:46,,web
EV000211,S0004,login,2026-04-05T01:01:34,,mobile
EV000212,S0004,video_watch,2026-01-25T09:44:54,428.0,web
EV000213,S0004,quiz_attempt,2026-02-05T01:07:36,,mobile
EV000214,S0004,video_watch,2025-12-30T22:56:32,413.0,web
EV000215,S0004,login,2026-05-15T22:40:24,,web
EV000216,S0004,quiz_attempt,2026-03-03T21:46:32,,web
EV000217,S0004,login,2026-03-04T02:45:26,,web
EV000218,S0004,video_watch,2026-04-04T01:34:39,1048.0,mobile
EV000219,S0004,video_watch,2026-01-21T08:40:46,730.0,web
EV000220,S0004,login,2026-03-24T15:29:04,,web
EV000221,S0004,video_watch,2026-03-04T02:15:01,555.0,web
EV000222,S0004,login,2025-12-27T23:37:44,,web
EV000223,S0004,video_watch,2026-03-11T00:33:40,480.0,mobile
EV000224,S0004,video_watch,2025-12-29T13:01:44,501.0,web
EV000225,S0004,quiz_attempt,2025-12-19T15:22:38,,mobile
EV000226,S0004,login,2026-02-15T20:03:38,,web
EV000227,S0004,video_watch,2026-02-18T03:03:29,550.0,web
EV000228,S0004,video_watch,2025-12-30T14:21:38,935.0,web
EV000229,S0004,quiz_attempt,2026-02-04T22:06:01,,mobile
EV000230,S0004,login,2026-03-25T14:01:30,,mobile
EV000231,S0004,forum_post,2026-01-23T13:26:19,,web
EV000232,S0004,video_watch,2026-03-17T23:49:49,666.0,web
EV000233,S0004,login,2026-01-31T18:01:40,,mobile
EV000234,S0004,quiz_attempt,2025-12-31T11:59:50,,web
EV000235,S0004,video_watch,2025-12-21T01:29:42,383.0,mobile
EV000236,S0004,video_watch,2026-02-13T13:34:09,1134.0,web
EV000237,S0004,login,2026-05-29T21:21:51,,web
EV000238,S0004,video_watch,2026-05-23T06:20:31,444.0,web
EV000239,S0004,quiz_attempt,2026-05-24T07:47:54,,web
EV000240,S0004,quiz_attempt,2026-01-23T08:31:33,,mobile
EV000241,S0004,login,2026-04-23T18:31:36,,web
EV000242,S0004,login,2026-04-26T07:25:56,,web
EV000243,S0004,login,2026-03-19T03:40:40,,mobile
EV000244,S0004,forum_post,2026-02-27T10:57:19,,web
EV000245,S0004,forum_post,2026-01-05T02:25:27,,mobile
EV000246,S0004,quiz_attempt,2026-01-14T20:39:02,,web
EV000247,S0004,forum_post,2026-04-19T12:44:26,,web
EV000248,S0004,video_watch,2026-05-03T16:04:39,554.0,web
EV000249,S0004,login,2026-02-11T13:56:34,,mobile
EV000250,S0004,video_watch,2026-05-05T17:22:49,934.0,web
EV000251,S0004,video_watch,2026-01-24T03:54:47,755.0,mobile
EV000252,S0004,login,2026-04-11T00:50:35,,mobile
EV000253,S0004,login,2026-04-15T20:37:51,,mobile
EV000254,S0004,login,2026-04-21T02:04:18,,web
EV000255,S0004,video_watch,2026-01-13T05:32:21,578.0,web
EV000256,S0004,video_watch,2026-05-22T18:13:06,426.0,web
EV000257,S0004,login,2026-03-20T07:25:21,,mobile
EV000258,S0004,login,2026-03-24T12:12:47,,mobile
EV000259,S0004,video_watch,2025-12-25T21:11:56,479.0,web
EV000260,S0004,video_watch,2025-12-17T14:11:36,491.0,web
EV000261,S0004,video_watch,2025-12-21T17:25:05,673.0,web
EV000262,S0004,quiz_attempt,2026-01-24T03:37:11,,web
EV000263,S0004,quiz_attempt,2026-02-06T02:53:29,,web
EV000264,S0004,resource_download,2026-04-28T13:31:28,,mobile
EV000265,S0004,login,2026-03-22T10:02:07,,web
EV000266,S0004,video_watch,2026-03-16T18:25:54,710.0,web
EV000267,S0004,quiz_attempt,2026-04-04T10:37:44,,web
EV000268,S0004,login,2026-01-28T14:21:06,,mobile
EV000269,S0004,resource_download,2026-04-02T13:02:29,,web
EV000270,S0004,resource_download,2026-04-12T17:27:58,,mobile
EV000271,S0004,login,2026-01-20T16:06:59,,mobile
EV000272,S0004,login,2026-04-20T06:16:33,,web
EV000273,S0004,forum_post,2026-01-25T22:38:35,,mobile
EV000274,S0004,video_watch,2026-04-13T20:19:33,642.0,mobile
EV000275,S0004,quiz_attempt,2026-05-28T05:14:17,,web
EV000276,S0004,login,2026-05-08T14:42:57,,web
EV000277,S0004,quiz_attempt,2026-03-14T07:15:21,,web
EV000278,S0004,quiz_attempt,2026-04-10T04:00:13,,mobile
EV000279,S0004,login,2026-01-17T23:00:37,,web
EV000280,S0004,login,2026-02-08T13:57:03,,web
EV000281,S0005,video_watch,2026-01-31T19:08:44,341.0,web
EV000282,S0005,video_watch,2026-04-23T23:56:12,610.0,mobile
EV000283,S0005,resource_download,2026-04-30T09:39:49,,web
EV000284,S0005,login,2026-03-04T07:22:33,,web
EV000285,S0005,video_watch,2026-05-23T04:12:44,807.0,web
EV000286,S0005,video_watch,2026-05-11T01:17:22,519.0,mobile
EV000287,S0005,login,2026-02-11T03:06:59,,web
EV000288,S0005,resource_download,2026-01-11T03:30:34,,web
EV000289,S0005,login,2026-05-29T03:37:45,,web
EV000290,S0005,video_watch,2025-12-15T23:20:58,515.0,mobile
EV000291,S0005,quiz_attempt,2026-02-16T00:25:13,,mobile
EV000292,S0005,video_watch,2025-12-16T03:20:27,568.0,mobile
EV000293,S0005,login,2026-04-15T12:26:46,,mobile
EV000294,S0005,quiz_attempt,2026-04-02T06:30:32,,web
EV000295,S0005,resource_download,2026-03-11T08:49:51,,web
EV000296,S0005,quiz_attempt,2026-03-29T01:12:17,,mobile
EV000297,S0005,video_watch,2026-05-12T14:34:01,775.0,web
EV000298,S0005,resource_download,2025-12-21T02:00:51,,web
EV000299,S0005,video_watch,2026-05-13T01:28:37,372.0,web
EV000300,S0005,quiz_attempt,2026-03-07T14:37:59,,mobile
EV000301,S0005,login,2026-05-18T01:08:22,,mobile
EV000302,S0005,video_watch,2025-12-23T11:34:12,841.0,web
EV000303,S0005,login,2026-02-12T05:16:39,,web
EV000304,S0005,resource_download,2026-01-12T03:33:21,,web
EV000305,S0005,quiz_attempt,2026-03-14T18:18:50,,web
EV000306,S0005,login,2026-01-10T17:37:14,,mobile
EV000307,S0005,forum_post,2026-01-23T19:15:49,,web
EV000308,S0005,login,2026-03-23T02:37:36,,web
EV000309,S0005,video_watch,2025-12-18T00:14:13,635.0,mobile
EV000310,S0005,forum_post,2025-12-18T20:15:29,,mobile
EV000311,S0005,resource_download,2026-03-19T04:27:12,,mobile
EV000312,S0005,video_watch,2025-12-14T14:41:31,557.0,mobile
EV000313,S0005,video_watch,2026-01-15T05:23:43,794.0,mobile
EV000314,S0005,login,2026-02-06T10:28:26,,web
EV000315,S0005,login,2026-01-06T03:11:53,,web
EV000316,S0005,login,2026-05-03T06:10:47,,web
EV000317,S0005,login,2026-05-20T23:13:58,,mobile
EV000318,S0005,login,2026-03-04T13:38:50,,web
EV000319,S0005,forum_post,2026-03-21T07:25:26,,mobile
EV000320,S0005,video_watch,2026-01-26T03:54:45,315.0,mobile
EV000321,S0005,video_watch,2026-05-14T23:31:03,656.0,web
EV000322,S0005,video_watch,2026-01-24T18:18:56,637.0,mobile
EV000323,S0005,login,2026-02-03T00:11:20,,web
EV000324,S0005,video_watch,2025-12-19T05:39:17,364.0,mobile
EV000325,S0005,video_watch,2026-02-23T09:47:46,643.0,mobile
EV000326,S0005,login,2026-01-13T11:54:34,,web
EV000327,S0005,login,2026-01-05T01:06:38,,mobile
EV000328,S0005,login,2026-05-17T02:00:24,,mobile
EV000329,S0005,resource_download,2026-03-28T11:39:39,,web
EV000330,S0005,video_watch,2026-02-19T13:12:46,608.0,web
EV000331,S0005,video_watch,2026-03-23T12:36:44,515.0,web
EV000332,S0006,video_watch,2026-04-27T20:39:53,435.0,mobile
EV000333,S0006,quiz_attempt,2026-01-03T12:55:39,,web
EV000334,S0006,resource_download,2026-04-30T12:54:10,,web
EV000335,S0006,login,2026-01-03T04:36:55,,web
EV000336,S0006,video_watch,2026-02-16T06:15:14,603.0,web
EV000337,S0006,video_watch,2026-05-16T05:06:19,523.0,web
EV000338,S0006,login,2025-12-26T17:02:01,,web
EV000339,S0006,video_watch,2026-01-07T14:54:53,426.0,web
EV000340,S0006,login,2025-12-07T08:19:44,,mobile
EV000341,S0006,video_watch,2026-01-06T22:16:01,650.0,web
EV000342,S0006,quiz_attempt,2025-12-20T11:16:30,,web
EV000343,S0006,resource_download,2026-01-03T11:47:46,,mobile
EV000344,S0006,quiz_attempt,2025-12-20T23:49:37,,web
EV000345,S0006,login,2026-02-08T20:54:50,,web
EV000346,S0006,resource_download,2026-03-09T12:18:13,,mobile
EV000347,S0006,quiz_attempt,2025-12-16T07:20:23,,web
EV000348,S0006,video_watch,2025-12-29T15:34:21,508.0,mobile
EV000349,S0006,login,2025-12-09T16:49:25,,web
EV000350,S0006,video_watch,2026-04-05T00:35:58,254.0,web
EV000351,S0006,login,2026-01-05T12:38:09,,mobile
EV000352,S0006,video_watch,2026-02-14T10:15:30,189.0,mobile
EV000353,S0006,resource_download,2026-02-04T11:59:16,,mobile
EV000354,S0006,login,2026-04-26T18:58:40,,web
EV000355,S0006,quiz_attempt,2026-02-09T21:42:37,,web
EV000356,S0006,video_watch,2026-01-17T07:09:17,707.0,web
EV000357,S0006,login,2026-04-09T15:13:09,,web
EV000358,S0006,login,2025-12-21T23:38:23,,web
EV000359,S0006,login,2026-02-14T23:16:53,,mobile
EV000360,S0006,login,2026-03-09T19:27:06,,mobile
EV000361,S0006,video_watch,2025-12-07T18:45:49,305.0,mobile
EV000362,S0006,quiz_attempt,2026-05-27T16:54:39,,mobile
EV000363,S0006,login,2025-12-11T10:05:49,,web
EV000364,S0006,login,2025-12-29T11:43:53,,web
EV000365,S0006,login,2026-03-13T00:00:56,,web
EV000366,S0006,video_watch,2026-01-01T18:27:50,605.0,mobile
EV000367,S0006,video_watch,2026-05-01T09:50:52,560.0,mobile
EV000368,S0006,video_watch,2026-04-17T19:59:31,475.0,web
EV000369,S0006,quiz_attempt,2026-03-10T12:17:58,,mobile
EV000370,S0006,login,2026-04-27T18:19:27,,mobile
EV000371,S0006,resource_download,2026-04-26T06:36:39,,web
EV000372,S0006,quiz_attempt,2026-03-22T02:15:48,,mobile
EV000373,S0006,forum_post,2026-02-26T10:16:20,,web
EV000374,S0006,login,2026-04-07T15:56:55,,mobile
EV000375,S0006,login,2026-01-29T21:44:56,,web
EV000376,S0006,login,2026-02-26T14:53:50,,web
EV000377,S0006,login,2026-02-12T04:30:50,,web
EV000378,S0006,login,2026-05-17T23:03:14,,web
EV000379,S0006,video_watch,2026-01-28T06:11:44,940.0,mobile
EV000380,S0006,video_watch,2026-04-24T11:02:50,585.0,web
EV000381,S0006,resource_download,2026-04-18T20:18:15,,mobile
EV000382,S0006,login,2026-02-25T10:52:18,,mobile
EV000383,S0006,video_watch,2026-01-27T16:14:57,700.0,web
EV000384,S0006,quiz_attempt,2026-05-10T12:48:07,,mobile
EV000385,S0006,video_watch,2026-02-25T16:33:49,606.0,mobile
EV000386,S0006,video_watch,2026-05-07T16:02:03,503.0,web
EV000387,S0006,resource_download,2026-05-14T03:48:00,,mobile
EV000388,S0006,video_watch,2026-01-14T15:32:41,545.0,mobile
EV000389,S0006,login,2025-12-14T02:31:35,,mobile
EV000390,S0006,forum_post,2025-12-14T18:47:56,,web
EV000391,S0006,login,2026-01-27T15:14:50,,web
EV000392,S0006,login,2026-02-18T00:39:13,,web
EV000393,S0006,login,2025-12-15T07:16:45,,mobile
EV000394,S0007,login,2026-02-22T14:50:02,,web
EV000395,S0007,login,2026-02-21T23:44:53,,web
EV000396,S0007,resource_download,2026-02-16T09:58:46,,mobile
EV000397,S0007,video_watch,2026-01-06T14:27:25,778.0,web
EV000398,S0007,login,2026-05-18T01:38:56,,mobile
EV000399,S0007,video_watch,2026-01-22T02:33:10,951.0,web
EV000400,S0007,quiz_attempt,2026-05-23T20:54:40,,mobile
EV000401,S0007,login,2025-12-24T05:34:56,,web
EV000402,S0007,resource_download,2026-04-12T12:31:21,,web
EV000403,S0007,login,2026-01-13T22:52:05,,web
EV000404,S0007,video_watch,2026-03-06T18:01:05,605.0,mobile
EV000405,S0007,login,2025-12-16T12:57:41,,web
EV000406,S0007,quiz_attempt,2026-01-27T23:11:55,,mobile
EV000407,S0007,login,2026-01-19T20:14:48,,web
EV000408,S0007,video_watch,2026-04-16T21:58:37,385.0,web
EV000409,S0007,video_watch,2026-01-09T20:51:59,472.0,web
EV000410,S0007,resource_download,2026-04-26T11:08:33,,mobile
EV000411,S0007,resource_download,2026-03-27T17:16:05,,mobile
EV000412,S0007,quiz_attempt,2026-05-19T23:29:22,,web
EV000413,S0007,forum_post,2026-03-24T03:28:43,,web
EV000414,S0007,login,2026-04-22T07:26:25,,web
EV000415,S0007,login,2026-04-15T12:19:10,,web
EV000416,S0007,login,2025-12-21T13:27:40,,mobile
EV000417,S0007,login,2025-12-17T01:38:08,,mobile
EV000418,S0007,login,2025-12-23T17:20:00,,web
EV000419,S0007,forum_post,2025-12-25T17:24:22,,web
EV000420,S0007,video_watch,2026-01-07T19:31:49,323.0,web
EV000421,S0007,login,2026-04-17T00:19:32,,web
EV000422,S0007,resource_download,2026-05-20T15:59:08,,web
EV000423,S0007,login,2026-03-31T21:11:08,,mobile
EV000424,S0007,resource_download,2026-03-24T17:48:30,,mobile
EV000425,S0007,video_watch,2026-04-16T12:54:33,714.0,web
EV000426,S0007,quiz_attempt,2026-05-08T01:16:00,,web
EV000427,S0007,quiz_attempt,2026-01-16T07:52:47,,mobile
EV000428,S0007,login,2026-02-19T11:35:52,,web
EV000429,S0007,resource_download,2026-01-18T22:27:43,,web
EV000430,S0007,quiz_attempt,2026-01-14T02:40:18,,web
EV000431,S0007,login,2026-03-10T10:40:38,,web
EV000432,S0007,forum_post,2026-01-24T23:42:03,,web
EV000433,S0007,login,2026-05-12T21:20:06,,mobile
EV000434,S0007,login,2026-01-22T08:38:42,,mobile
EV000435,S0007,login,2026-05-03T21:25:10,,web
EV000436,S0007,login,2026-01-21T22:49:40,,mobile
EV000437,S0007,resource_download,2026-01-08T23:11:45,,mobile
EV000438,S0007,video_watch,2025-12-18T00:43:19,443.0,web
EV000439,S0007,video_watch,2026-04-13T03:56:53,20.0,web
EV000440,S0007,login,2026-01-21T23:25:34,,mobile
EV000441,S0007,login,2026-02-19T09:38:58,,mobile
EV000442,S0007,forum_post,2026-02-07T03:35:16,,web
EV000443,S0007,quiz_attempt,2025-12-29T10:47:06,,web
EV000444,S0007,login,2026-05-07T09:39:20,,web
EV000445,S0007,video_watch,2026-05-25T08:40:57,1053.0,mobile
EV000446,S0007,login,2026-01-29T05:18:58,,mobile
EV000447,S0007,login,2026-04-08T13:19:29,,web
EV000448,S0007,login,2026-02-03T14:41:46,,mobile
