record_id,student_id,course_id,assessment_id,question_no,concept_id,concept_name,score_pct,mastery_status,timestamp
CP000121,S0006,C005,C005-QZ,1,C005-K04,Funnel Analytics,66.0,passed,2025-12-20T13:25:38
CP000122,S0006,C005,C005-QZ,2,C005-K02,Content Strategy,62.1,passed,2025-12-20T13:25:38
CP000123,S0006,C005,C005-QZ,3,C005-K03,Paid Ads,58.7,failed,2025-12-20T13:25:38
CP000124,S0006,C005,C005-QZ,4,C005-K01,SEO Basics,51.5,failed,2025-12-20T13:25:38
CP000125,S0006,C005,C005-QZ,1,C005-K03,Paid Ads,67.2,passed,2026-01-04T13:25:38
CP000126,S0006,C005,C005-QZ,2,C005-K01,SEO Basics,67.5,passed,2026-01-04T13:25:38
CP000127,S0006,C005,C005-QZ,3,C005-K02,Content Strategy,66.4,passed,2026-01-04T13:25:38
CP000128,S0006,C005,C005-QZ,4,C005-K04,Funnel Analytics,57.7,failed,2026-01-04T13:25:38
CP000129,S0006,C005,C005-QZ,1,C005-K01,SEO Basics,59.4,failed,2026-01-18T13:25:38
CP000130,S0006,C005,C005-QZ,2,C005-K02,Content Strategy,34.5,failed,2026-01-18T13:25:38
CP000131,S0006,C005,C005-QZ,3,C005-K03,Paid Ads,29.3,failed,2026-01-18T13:25:38
CP000132,S0006,C005,C005-QZ,4,C005-K04,Funnel Analytics,46.0,failed,2026-01-18T13:25:38
CP000133,S0006,C005,C005-QZ,1,C005-K01,SEO Basics,44.8,failed,2026-02-02T13:25:38
CP000134,S0006,C005,C005-QZ,2,C005-K02,Content Strategy,55.6,failed,2026-02-02T13:25:38
CP000135,S0006,C005,C005-QZ,3,C005-K04,Funnel Analytics,65.4,passed,2026-02-02T13:25:38
CP000136,S0006,C005,C005-QZ,4,C005-K03,Paid Ads,54.3,failed,2026-02-02T13:25:38
CP000137,S0006,C005,C005-EX,1,C005-K04,Funnel Analytics,76.8,passed,2026-04-30T13:25:38
CP000138,S0006,C005,C005-EX,2,C005-K03,Paid Ads,81.2,passed,2026-04-30T13:25:38
CP000139,S0006,C005,C005-EX,3,C005-K02,Content Strategy,70.5,passed,2026-04-30T13:25:38
CP000140,S0006,C005,C005-EX,4,C005-K01,SEO Basics,74.2,passed,2026-04-30T13:25:38
CP000141,S0006,C005,C005-EXF,1,C005-K04,Funnel Analytics,81.0,passed,2026-05-15T13:25:38
CP000142,S0006,C005,C005-EXF,2,C005-K03,Paid Ads,87.5,passed,2026-05-15T13:25:38
CP000143,S0006,C005,C005-EXF,3,C005-K01,SEO Basics,76.1,passed,2026-05-15T13:25:38
CP000144,S0006,C005,C005-EXF,4,C005-K02,Content Strategy,86.7,passed,2026-05-15T13:25:38
CP000145,S0007,C002,C002-QZ,1,C002-K02,Control Flow,53.3,failed,2025-12-27T09:41:02
CP000146,S0007,C002,C002-QZ,2,C002-K03,Functions,68.4,passed,2025-12-27T09:41:02
CP000147,S0007,C002,C002-QZ,3,C002-K01,Variables & Types,64.7,passed,2025-12-27T09:41:02
CP000148,S0007,C002,C002-QZ,4,C002-K05,Recursion,27.5,failed,2025-12-27T09:41:02
CP000149,S0007,C002,C002-QZ,1,C002-K02,Control Flow,68.1,passed,2026-01-10T09:41:02
CP000150,S0007,C002,C002-QZ,2,C002-K06,File I/O,99.9,passed,2026-01-10T09:41:02
CP000151,S0007,C002,C002-QZ,3,C002-K05,Recursion,35.5,failed,2026-01-10T09:41:02
CP000152,S0007,C002,C002-QZ,4,C002-K01,Variables & Types,65.5,passed,2026-01-10T09:41:02
CP000153,S0007,C002,C002-QZ,1,C002-K01,Variables & Types,80.2,passed,2026-01-24T09:41:02
CP000154,S0007,C002,C002-QZ,2,C002-K07,Error Handling,88.1,passed,2026-01-24T09:41:02
CP000155,S0007,C002,C002-QZ,3,C002-K02,Control Flow,84.3,passed,2026-01-24T09:41:02
CP000156,S0007,C002,C002-QZ,4,C002-K06,File I/O,76.6,passed,2026-01-24T09:41:02
CP000157,S0007,C002,C002-QZ,1,C002-K04,Data Structures,69.6,passed,2026-02-07T09:41:02
CP000158,S0007,C002,C002-QZ,2,C002-K03,Functions,50.7,failed,2026-02-07T09:41:02
CP000159,S0007,C002,C002-QZ,3,C002-K07,Error Handling,65.5,passed,2026-02-07T09:41:02
CP000160,S0007,C002,C002-QZ,4,C002-K02,Control Flow,68.4,passed,2026-02-07T09:41:02
CP000161,S0007,C002,C002-EX,1,C002-K02,Control Flow,49.4,failed,2026-05-02T09:41:02
CP000162,S0007,C002,C002-EX,2,C002-K01,Variables & Types,63.8,passed,2026-05-02T09:41:02
CP000163,S0007,C002,C002-EX,3,C002-K05,Recursion,32.7,failed,2026-05-02T09:41:02
CP000164,S0007,C002,C002-EX,4,C002-K04,Data Structures,81.5,passed,2026-05-02T09:41:02
CP000165,S0007,C002,C002-EXF,1,C002-K02,Control Flow,89.8,passed,2026-05-16T09:41:02
CP000166,S0007,C002,C002-EXF,2,C002-K03,Functions,77.0,passed,2026-05-16T09:41:02
CP000167,S0007,C002,C002-EXF,3,C002-K07,Error Handling,87.3,passed,2026-05-16T09:41:02
CP000168,S0007,C002,C002-EXF,4,C002-K04,Data Structures,95.1,passed,2026-05-16T09:41:02
CP000169,S0008,C002,C002-QZ,1,C002-K06,File I/O,80.0,passed,2025-12-18T06:25:59
CP000170,S0008,C002,C002-QZ,2,C002-K03,Functions,82.0,passed,2025-12-18T06:25:59
CP000171,S0008,C002,C002-QZ,3,C002-K07,Error Handling,75.6,passed,2025-12-18T06:25:59
CP000172,S0008,C002,C002-QZ,4,C002-K01,Variables & Types,83.1,passed,2025-12-18T06:25:59
CP000173,S0008,C002,C002-QZ,1,C002-K05,Recursion,68.3,passed,2026-01-02T06:25:59
CP000174,S0008,C002,C002-QZ,2,C002-K03,Functions,83.0,passed,2026-01-02T06:25:59
CP000175,S0008,C002,C002-QZ,3,C002-K01,Variables & Types,89.9,passed,2026-01-02T06:25:59
CP000176,S0008,C002,C002-QZ,4,C002-K07,Error Handling,83.2,passed,2026-01-02T06:25:59
CP000177,S0008,C002,C002-QZ,1,C002-K02,Control Flow,86.1,passed,2026-01-17T06:25:59
CP000178,S0008,C002,C002-QZ,2,C002-K07,Error Handling,92.7,passed,2026-01-17T06:25:59
CP000179,S0008,C002,C002-QZ,3,C002-K05,Recursion,65.9,passed,2026-01-17T06:25:59
CP000180,S0008,C002,C002-QZ,4,C002-K01,Variables & Types,79.6,passed,2026-01-17T06:25:59
CP000181,S0008,C002,C002-QZ,1,C002-K04,Data Structures,91.0,passed,2026-02-01T06:25:59
CP000182,S0008,C002,C002-QZ,2,C002-K01,Variables & Types,88.5,passed,2026-02-01T06:25:59
CP000183,S0008,C002,C002-QZ,3,C002-K07,Error Handling,86.6,passed,2026-02-01T06:25:59
CP000184,S0008,C002,C002-QZ,4,C002-K03,Functions,94.7,passed,2026-02-01T06:25:59
CP000185,S0008,C002,C002-EX,1,C002-K07,Error Handling,89.9,passed,2026-04-30T06:25:59
CP000186,S0008,C002,C002-EX,2,C002-K03,Functions,72.8,passed,2026-04-30T06:25:59
CP000187,S0008,C002,C002-EX,3,C002-K06,File I/O,73.9,passed,2026-04-30T06:25:59
CP000188,S0008,C002,C002-EX,4,C002-K01,Variables & Types,88.2,passed,2026-04-30T06:25:59
CP000189,S0008,C002,C002-EXF,1,C002-K05,Recursion,76.2,passed,2026-05-15T06:25:59
CP000190,S0008,C002,C002-EXF,2,C002-K04,Data Structures,100.0,passed,2026-05-15T06:25:59
CP000191,S0008,C002,C002-EXF,3,C002-K01,Variables & Types,100.0,passed,2026-05-15T06:25:59
CP000192,S0008,C002,C002-EXF,4,C002-K03,Functions,96.1,passed,2026-05-15T06:25:59
CP000193,S0009,C001,C001-QZ,1,C001-K02,Descriptive Statistics,80.5,passed,2025-12-19T13:56:35
CP000194,S0009,C001,C001-QZ,2,C001-K03,Data Cleaning,74.9,passed,2025-12-19T13:56:35
CP000195,S0009,C001,C001-QZ,3,C001-K05,Joins & Merges,53.2,failed,2025-12-19T13:56:35
CP000196,S0009,C001,C001-QZ,4,C001-K04,GroupBy & Aggregation,73.8,passed,2025-12-19T13:56:35
CP000197,S0009,C001,C001-QZ,1,C001-K05,Joins & Merges,49.9,failed,2026-01-03T13:56:35
CP000198,S0009,C001,C001-QZ,2,C001-K02,Descriptive Statistics,50.2,failed,2026-01-03T13:56:35
CP000199,S0009,C001,C001-QZ,3,C001-K04,GroupBy & Aggregation,67.1,passed,2026-01-03T13:56:35
CP000200,S0009,C001,C001-QZ,4,C001-K06,Data Visualization Basics,51.3,failed,2026-01-03T13:56:35
CP000201,S0009,C001,C001-QZ,1,C001-K05,Joins & Merges,58.7,failed,2026-01-18T13:56:35
CP000202,S0009,C001,C001-QZ,2,C001-K04,GroupBy & Aggregation,76.0,passed,2026-01-18T13:56:35
CP000203,S0009,C001,C001-QZ,3,C001-K02,Descriptive Statistics,75.1,passed,2026-01-18T13:56:35
CP000204,S0009,C001,C001-QZ,4,C001-K03,Data Cleaning,72.3,passed,2026-01-18T13:56:35
CP000205,S0009,C001,C001-QZ,1,C001-K05,Joins & Merges,56.0,failed,2026-02-01T13:56:35
CP000206,S0009,C001,C001-QZ,2,C001-K02,Descriptive Statistics,54.4,failed,2026-02-01T13:56:35
CP000207,S0009,C001,C001-QZ,3,C001-K06,Data Visualization Basics,72.0,passed,2026-02-01T13:56:35
CP000208,S0009,C001,C001-QZ,4,C001-K01,Spreadsheets & Tabular Data,68.2,passed,2026-02-01T13:56:35
CP000209,S0009,C001,C001-EX,1,C001-K04,GroupBy & Aggregation,73.9,passed,2026-04-30T13:56:35
CP000210,S0009,C001,C001-EX,2,C001-K01,Spreadsheets & Tabular Data,73.4,passed,2026-04-30T13:56:35
CP000211,S0009,C001,C001-EX,3,C001-K02,Descriptive Statistics,84.5,passed,2026-04-30T13:56:35
CP000212,S0009,C001,C001-EX,4,C001-K03,Data Cleaning,75.0,passed,2026-04-30T13:56:35
CP000213,S0009,C001,C001-EXF,1,C001-K03,Data Cleaning,71.8,passed,2026-05-15T13:56:35
CP000214,S0009,C001,C001-EXF,2,C001-K01,Spreadsheets & Tabular Data,74.4,passed,2026-05-15T13:56:35
CP000215,S0009,C001,C001-EXF,3,C001-K06,Data Visualization Basics,69.1,passed,2026-05-15T13:56:35
CP000216,S0009,C001,C001-EXF,4,C001-K05,Joins & Merges,54.4,failed,2026-05-15T13:56:35
CP000217,S0010,C003,C003-QZ,1,C003-K04,HTTP & APIs,70.3,passed,2025-12-16T07:46:13
CP000218,S0010,C003,C003-QZ,2,C003-K03,JavaScript DOM,65.0,passed,2025-12-16T07:46:13
CP000219,S0010,C003,C003-QZ,3,C003-K01,HTML & Semantics,70.9,passed,2025-12-16T07:46:13
CP000220,S0010,C003,C003-QZ,4,C003-K05,Responsive Design,71.8,passed,2025-12-16T07:46:13
CP000221,S0010,C003,C003-QZ,1,C003-K05,Responsive Design,74.0,passed,2025-12-31T07:46:13
CP000222,S0010,C003,C003-QZ,2,C003-K02,CSS Layout,66.8,passed,2025-12-31T07:46:13
CP000223,S0010,C003,C003-QZ,3,C003-K04,HTTP & APIs,65.6,passed,2025-12-31T07:46:13
CP000224,S0010,C003,C003-QZ,4,C003-K03,JavaScript DOM,76.9,passed,2025-12-31T07:46:13
CP000225,S0010,C003,C003-QZ,1,C003-K01,HTML & Semantics,73.2,passed,2026-01-15T07:46:13
CP000226,S0010,C003,C003-QZ,2,C003-K02,CSS Layout,79.9,passed,2026-01-15T07:46:13
CP000227,S0010,C003,C003-QZ,3,C003-K03,JavaScript DOM,65.9,passed,2026-01-15T07:46:13
CP000228,S0010,C003,C003-QZ,4,C003-K04,HTTP & APIs,78.0,passed,2026-01-15T07:46:13
CP000229,S0010,C003,C003-QZ,1,C003-K01,HTML & Semantics,49.6,failed,2026-01-30T07:46:13
CP000230,S0010,C003,C003-QZ,2,C003-K05,Responsive Design,62.2,passed,2026-01-30T07:46:13
CP000231,S0010,C003,C003-QZ,3,C003-K04,HTTP & APIs,36.1,failed,2026-01-30T07:46:13
CP000232,S0010,C003,C003-QZ,4,C003-K02,CSS Layout,71.9,passed,2026-01-30T07:46:13
CP000233,S0010,C003,C003-EX,1,C003-K03,JavaScript DOM,63.3,passed,2026-04-30T07:46:13
CP000234,S0010,C003,C003-EX,2,C003-K04,HTTP & APIs,55.5,failed,2026-04-30T07:46:13
CP000235,S0010,C003,C003-EX,3,C003-K05,Responsive Design,56.2,failed,2026-04-30T07:46:13
CP000236,S0010,C003,C003-EX,4,C003-K01,HTML & Semantics,65.7,passed,2026-04-30T07:46:13
CP000237,S0010,C003,C003-EXF,1,C003-K05,Responsive Design,47.4,failed,2026-05-15T07:46:13
CP000238,S0010,C003,C003-EXF,2,C003-K01,HTML & Semantics,70.0,passed,2026-05-15T07:46:13
CP000239,S0010,C003,C003-EXF,3,C003-K03,JavaScript DOM,51.6,failed,2026-05-15T07:46:13
CP000240,S0010,C003,C003-EXF,4,C003-K04,HTTP & APIs,50.6,failed,2026-05-15T07:46:13
CP000241,S0011,C006,C006-QZ,1,C006-K06,Clustering,66.4,passed,2025-12-22T21:54:11
CP000242,S0011,C006,C006-QZ,2,C006-K04,Feature Engineering,73.7,passed,2025-12-22T21:54:11
CP000243,S0011,C006,C006-QZ,3,C006-K01,Regression,73.1,passed,2025-12-22T21:54:11
CP000244,S0011,C006,C006-QZ,4,C006-K03,Overfitting & Regularization,51.0,failed,2025-12-22T21:54:11
CP000245,S0011,C006,C006-QZ,1,C006-K05,Model Evaluation,80.9,passed,2026-01-05T21:54:11
CP000246,S0011,C006,C006-QZ,2,C006-K01,Regression,58.3,failed,2026-01-05T21:54:11
CP000247,S0011,C006,C006-QZ,3,C006-K04,Feature Engineering,69.9,passed,2026-01-05T21:54:11
CP000248,S0011,C006,C006-QZ,4,C006-K03,Overfitting & Regularization,56.5,failed,2026-01-05T21:54:11
CP000249,S0011,C006,C006-QZ,1,C006-K02,Classification,64.4,passed,2026-01-20T21:54:11
CP000250,S0011,C006,C006-QZ,2,C006-K06,Clustering,58.0,failed,2026-01-20T21:54:11
CP000251,S0011,C006,C006-QZ,3,C006-K03,Overfitting & Regularization,55.4,failed,2026-01-20T21:54:11
CP000252,S0011,C006,C006-QZ,4,C006-K05,Model Evaluation,54.6,failed,2026-01-20T21:54:11
CP000253,S0011,C006,C006-QZ,1,C006-K03,Overfitting & Regularization,66.2,passed,2026-02-03T21:54:11
CP000254,S0011,C006,C006-QZ,2,C006-K04,Feature Engineering,78.2,passed,2026-02-03T21:54:11
